city,hotel_name,price,rating,stars,distance_from_center_km,breakfast_included,review_count
prague,Prague - Karlin Apartments,2796,8.3,6.0,2.7,False,756
prague,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",2775,9.4,8.0,5.6,True,17434
prague,The Cloud One Prague,3350,8.7,8.0,1.0,False,5554
prague,a&o Prague Rhea,1432,7.8,6.0,5.7,False,24702
prague,Adria Hotel Prague,3277,8.1,8.0,0.6,True,1275
prague,Grand Hotel Prague Towers - Czech Leading Hotels,3190,9.0,10.0,2.8,False,19133
prague,City Central De Luxe,2401,7.6,6.0,1.6,True,6817
prague,Congress & Wellness Hotel Olsanka,2311,7.8,8.0,2.7,False,9852
prague,Belvedere,2903,8.3,8.0,1.5,True,8782
prague,Motel One Prague-Florentinum,2450,8.7,6.0,1.0,False,5035
prague,Perla Hotel,3747,8.7,8.0,0.4,False,5143
prague,Grandium Hotel Prague,4721,8.6,10.0,0.8,True,14130
prague,Hotel Ambiance,1875,8.3,8.0,1.7,True,6220
prague,Ibis Praha Mala Strana,1966,8.3,6.0,2.2,False,4418
prague,Holiday Home Florida by Interhome,2961,8.3,,11.6,False,66
prague,Grandior Hotel Prague,2846,8.8,10.0,1.1,True,11874
prague,Hotel Ariston Prague,2266,8.2,8.0,2.0,True,9067
prague,Diplomat Hotel Prague,5220,8.9,8.0,2.6,True,5724
prague,Narodni Stay,2023,8.3,6.0,0.6,False,5981
prague,Krakovka Residence,2562,8.9,8.0,1.2,False,824
prague,Mama Shelter Prague,2468,8.9,8.0,1.9,False,4759
prague,Majestic Plaza Hotel Prague,2951,8.6,8.0,1.0,True,6891
prague,Expo Hotel,2949,8.8,8.0,2.4,True,4729
prague,Ibis Praha Old Town,3232,8.1,6.0,0.7,False,5073
prague,Alqush Downtown Hotel,3085,8.6,8.0,1.9,True,2297
prague,Prague - Karlin Apartments,2796,8.3,6.0,2.7,False,756
prague,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",2775,9.4,8.0,5.6,True,17434
prague,The Cloud One Prague,3350,8.7,8.0,1.0,False,5554
prague,a&o Prague Rhea,1432,7.8,6.0,5.7,False,24702
prague,Adria Hotel Prague,3277,8.1,8.0,0.6,True,1275
prague,Grand Hotel Prague Towers - Czech Leading Hotels,3190,9.0,10.0,2.8,False,19133
prague,City Central De Luxe,2401,7.6,6.0,1.6,True,6817
prague,Congress & Wellness Hotel Olsanka,2311,7.8,8.0,2.7,False,9852
prague,Belvedere,2625,8.3,8.0,1.5,True,8782
prague,Motel One Prague-Florentinum,2450,8.7,6.0,1.0,False,5035
prague,Perla Hotel,3747,8.7,8.0,0.4,False,5143
prague,Grandium Hotel Prague,4721,8.6,10.0,0.8,True,14130
prague,Hotel Ambiance,1875,8.3,8.0,1.7,True,6220
prague,Ibis Praha Mala Strana,1966,8.3,6.0,2.2,False,4418
prague,Holiday Home Florida by Interhome,2961,8.3,,11.6,False,66
prague,Grandior Hotel Prague,2846,8.8,10.0,1.1,True,11874
prague,Hotel Ariston Prague,2266,8.2,8.0,2.0,True,9067
prague,Diplomat Hotel Prague,5220,8.9,8.0,2.6,True,5724
prague,Narodni Stay,2023,8.3,6.0,0.6,False,5981
prague,Krakovka Residence,2562,8.9,8.0,1.2,False,824
prague,Mama Shelter Prague,2468,8.9,8.0,1.9,False,4759
prague,Majestic Plaza Hotel Prague,2951,8.6,8.0,1.0,True,6891
prague,Expo Hotel,2949,8.8,8.0,2.4,True,4729
prague,Ibis Praha Old Town,3232,8.1,6.0,0.7,False,5073
prague,Alqush Downtown Hotel,3085,8.6,8.0,1.9,True,2297
prague,Prague - Karlin Apartments,2796,8.3,6.0,2.7,False,756
prague,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",2775,9.4,8.0,5.6,True,17434
prague,The Cloud One Prague,3350,8.7,8.0,1.0,False,5554
prague,a&o Prague Rhea,1432,7.8,6.0,5.7,False,24702
prague,Adria Hotel Prague,3277,8.1,8.0,0.6,True,1275
prague,Grand Hotel Prague Towers - Czech Leading Hotels,3190,9.0,10.0,2.8,False,19133
prague,City Central De Luxe,2401,7.6,6.0,1.6,True,6817
prague,Congress & Wellness Hotel Olsanka,2311,7.8,8.0,2.7,False,9852
prague,Belvedere,2625,8.3,8.0,1.5,True,8782
prague,Motel One Prague-Florentinum,2450,8.7,6.0,1.0,False,5035
prague,Perla Hotel,3747,8.7,8.0,0.4,False,5143
prague,Grandium Hotel Prague,4721,8.6,10.0,0.8,True,14130
prague,Hotel Ambiance,1875,8.3,8.0,1.7,True,6220
prague,Ibis Praha Mala Strana,1966,8.3,6.0,2.2,False,4418
prague,Holiday Home Florida by Interhome,2961,8.3,,11.6,False,66
prague,Grandior Hotel Prague,2846,8.8,10.0,1.1,True,11874
prague,Hotel Ariston Prague,2266,8.2,8.0,2.0,True,9067
prague,Diplomat Hotel Prague,5220,8.9,8.0,2.6,True,5724
prague,Narodni Stay,2023,8.3,6.0,0.6,False,5981
prague,Krakovka Residence,2562,8.9,8.0,1.2,False,824
prague,Mama Shelter Prague,2468,8.9,8.0,1.9,False,4759
prague,Majestic Plaza Hotel Prague,2951,8.6,8.0,1.0,True,6891
prague,Expo Hotel,2949,8.8,8.0,2.4,True,4729
prague,Ibis Praha Old Town,3232,8.1,6.0,0.7,False,5073
prague,Alqush Downtown Hotel,3085,8.6,8.0,1.9,True,2297
prague,Prague - Karlin Apartments,2796,8.3,6.0,2.7,False,756
prague,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",2775,9.4,8.0,5.6,True,17434
prague,The Cloud One Prague,3350,8.7,8.0,1.0,False,5554
prague,a&o Prague Rhea,1432,7.8,6.0,5.7,False,24702
