city,checkin,checkout,hotel_name,price,rating,stars,distance_km,breakfast,review_count,month,day_of_week,is_weekend,stay_length
barcelona,2026-04-24,2026-04-26,Hotel Continental Barcelona,10853,8.1,6.0,0.25,True,1691,4,4,0,2
barcelona,2026-04-24,2026-04-26,Grand Hyatt Barcelona,13653,8.5,10.0,3.9,False,3473,4,4,0,2
barcelona,2026-04-24,2026-04-26,Catalonia Barcelona Beach,10395,8.3,8.0,3.7,False,1058,4,4,0,2
barcelona,2026-04-24,2026-04-26,Tembo Barcelona,12474,8.9,8.0,5.2,False,5904,4,4,0,2
barcelona,2026-04-24,2026-04-26,NH Collection Barcelona Constanza,10443,8.7,8.0,2.8,False,4100,4,4,0,2
barcelona,2026-04-24,2026-04-26,Zenit Borrell,10753,9.0,8.0,1.6,False,557,4,4,0,2
barcelona,2026-04-24,2026-04-26,Hotel Derby,9285,8.1,8.0,2.4,False,1359,4,4,0,2
barcelona,2026-04-24,2026-04-26,Hotel Oasis,10530,8.5,4.0,1.3,False,4246,4,4,0,2
barcelona,2026-04-24,2026-04-26,Vincci Mae,10491,8.5,8.0,2.1,False,2429,4,4,0,2
barcelona,2026-04-24,2026-04-26,Catalonia Rigoletto,9421,8.6,8.0,3.7,False,1781,4,4,0,2
barcelona,2026-04-24,2026-04-26,Barceló Raval,11744,8.1,8.0,0.9,False,2512,4,4,0,2
barcelona,2026-04-24,2026-04-26,NH Barcelona Eixample,10732,7.9,6.0,1.3,False,2043,4,4,0,2
barcelona,2026-04-24,2026-04-26,Bonanova Park,8958,8.3,4.0,3.8,False,1695,4,4,0,2
barcelona,2026-04-24,2026-04-26,Petit Palace Trencadís,10525,8.5,8.0,1.1,False,3036,4,4,0,2
barcelona,2026-04-24,2026-04-26,Hotel Indigo Barcelona - Plaza Catalunya 4Sup by IHG,12902,8.2,8.0,0.45,False,544,4,4,0,2
barcelona,2026-04-24,2026-04-26,Hotel Paseo de Gracia,9203,8.8,2.0,1.2,False,1064,4,4,0,2
barcelona,2026-04-24,2026-04-26,Chi,10530,8.9,6.0,1.6,False,4666,4,4,0,2
barcelona,2026-04-24,2026-04-26,Holiday Inn Express Barcelona City 22@ by IHG,10642,8.4,6.0,2.8,True,7643,4,4,0,2
barcelona,2026-04-24,2026-04-26,Pol & Grace Hotel,9424,8.1,8.0,2.5,False,1998,4,4,0,2
barcelona,2026-04-24,2026-04-26,Mesón Castilla Atiram Hotels,11111,8.7,6.0,0.4,False,1563,4,4,0,2
barcelona,2026-04-24,2026-04-26,Barceló Sants,11125,8.7,8.0,2.7,False,7530,4,4,0,2
barcelona,2026-04-24,2026-04-26,"Hotel Barcelona Condal Mar, Affiliated by Meliá",9587,8.1,8.0,4.3,False,2052,4,4,0,2
barcelona,2026-04-24,2026-04-26,Caledonian,11292,8.6,6.0,0.8,False,5449,4,4,0,2
barcelona,2026-04-24,2026-04-28,Catalonia Barcelona Beach,17868,8.3,8.0,3.7,False,1058,4,4,0,4
barcelona,2026-04-24,2026-04-28,Catalonia Barcelona Plaza,22007,8.8,8.0,2.2,False,5721,4,4,0,4
barcelona,2026-04-24,2026-04-28,Mesón Castilla Atiram Hotels,19281,8.7,6.0,0.4,False,1563,4,4,0,4
barcelona,2026-04-24,2026-04-28,Pol & Grace Hotel,16118,8.1,8.0,2.5,False,1998,4,4,0,4
barcelona,2026-04-24,2026-04-28,Holiday Inn Express Barcelona City 22@ by IHG,18697,8.4,6.0,2.8,True,7643,4,4,0,4
barcelona,2026-04-24,2026-04-28,Moxy Barcelona,20921,8.3,8.0,2.4,False,4188,4,4,0,4
barcelona,2026-04-24,2026-04-28,Barceló Raval,19838,8.1,8.0,0.9,False,2512,4,4,0,4
barcelona,2026-04-24,2026-04-28,Bonanova Park,16229,8.3,4.0,3.8,False,1695,4,4,0,4
barcelona,2026-04-24,2026-04-28,Tembo Barcelona,23413,8.9,8.0,5.2,False,5904,4,4,0,4
barcelona,2026-04-24,2026-04-28,Hotel Derby,16210,8.1,8.0,2.4,False,1359,4,4,0,4
barcelona,2026-04-24,2026-04-28,Vincci Mae,19088,8.5,8.0,2.1,False,2429,4,4,0,4
barcelona,2026-04-24,2026-04-28,Exe Mitre,17203,8.8,6.0,3.2,False,2147,4,4,0,4
barcelona,2026-04-24,2026-04-28,Ilunion Barcelona,19470,8.5,8.0,3.0,False,4900,4,4,0,4
barcelona,2026-04-24,2026-04-28,Oriente Atiram Hotel,21709,8.5,6.0,0.9,False,3367,4,4,0,4
barcelona,2026-04-24,2026-04-28,Vincci Bit,16010,8.6,8.0,4.4,False,5959,4,4,0,4
barcelona,2026-04-24,2026-04-28,Hotel Condal,18580,7.9,6.0,0.7,False,3893,4,4,0,4
barcelona,2026-04-24,2026-04-28,Four Points by Sheraton Barcelona Airport,17963,8.8,8.0,14.3,False,1914,4,4,0,4
barcelona,2026-04-24,2026-04-28,Catalonia Boulevard,26877,8.9,8.0,1.2,False,1759,4,4,0,4
barcelona,2026-04-24,2026-04-28,Leonardo Royal Hotel Barcelona Forum,20936,8.3,8.0,4.8,False,2591,4,4,0,4
barcelona,2026-04-24,2026-04-28,NH Barcelona Eixample,19431,7.9,6.0,1.3,False,2043,4,4,0,4
barcelona,2026-04-24,2026-04-28,Ofelias Hotel 4Sup,23156,8.6,8.0,2.0,False,2354,4,4,0,4
barcelona,2026-04-24,2026-04-28,Catalonia Sagrada Familia,19516,8.4,6.0,2.6,False,8273,4,4,0,4
barcelona,2026-04-24,2026-04-28,Petit Palace Trencadís,17952,8.5,8.0,1.1,False,3036,4,4,0,4
barcelona,2026-05-06,2026-05-07,Hotel Palermo,3662,7.0,2.0,0.7,True,2705,5,2,0,1
barcelona,2026-05-06,2026-05-07,Cien,5463,8.5,,0.6,True,916,5,2,0,1
barcelona,2026-05-06,2026-05-07,Seventy Barcelona,7689,9.1,8.0,1.4,False,2794,5,2,0,1
barcelona,2026-05-06,2026-05-07,Catalonia Portal de l'Angel,6705,8.9,6.0,0.3,False,2579,5,2,0,1
barcelona,2026-05-06,2026-05-07,Roma Reial,4027,7.4,2.0,0.9,True,5958,5,2,0,1
barcelona,2026-05-06,2026-05-07,Hostal la Palmera,4282,8.8,4.0,0.6,False,2107,5,2,0,1
barcelona,2026-05-06,2026-05-07,Hotel Villa Emilia,7900,9.0,8.0,1.5,False,1217,5,2,0,1
barcelona,2026-05-06,2026-05-07,Urbany Hostel Barcelona,3295,7.3,,2.6,False,2585,5,2,0,1
barcelona,2026-05-06,2026-05-07,YOUTH HOSTEL - Central and Basic Drassanes,3735,7.8,,1.1,False,2477,5,2,0,1
barcelona,2026-05-06,2026-05-07,Hotel Sant Agustí,5853,8.2,6.0,0.7,False,4406,5,2,0,1
barcelona,2026-05-06,2026-05-07,Som Nit Triomf,4976,8.1,,0.7,False,1150,5,2,0,1
barcelona,2026-05-06,2026-05-07,Catalonia Eixample 1864,7754,8.7,8.0,0.7,False,3965,5,2,0,1
barcelona,2026-05-06,2026-05-07,Uma House by Yurbban Trafalgar,7587,9.1,6.0,0.5,False,1393,5,2,0,1
barcelona,2026-05-06,2026-05-07,Forget Me Not Barcelona,6612,9.2,,1.2,True,1661,5,2,0,1
barcelona,2026-05-06,2026-05-07,Mercer Hotel Barcelona,11818,9.1,10.0,0.9,False,236,5,2,0,1
barcelona,2026-05-06,2026-05-07,Miiro Borneta,11681,9.1,8.0,1.1,False,981,5,2,0,1
barcelona,2026-05-06,2026-05-07,Hotel 1898,8385,9.0,8.0,0.4,False,3969,5,2,0,1
