city,checkin,checkout,hotel_name,price,rating,stars,distance_km,breakfast,review_count,month,day_of_week,is_weekend,stay_length
berlin,2026-04-24,2026-04-25,Park Inn by Radisson Berlin Alexanderplatz,4685,8.1,8.0,2.6,False,15001,4,4,0,1
berlin,2026-04-24,2026-04-25,Premier Inn Berlin Airport,2198,8.6,0.0,17.3,False,10154,4,4,0,1
berlin,2026-04-24,2026-04-25,Estrel Berlin,2367,8.5,8.0,7.3,False,7355,4,4,0,1
berlin,2026-04-24,2026-04-25,Candlewood Suites Berlin Charlottenburg by IHG,1899,8.4,0.0,3.4,False,975,4,4,0,1
berlin,2026-04-24,2026-04-25,nhow Berlin,3543,8.9,0.0,5.2,False,5656,4,4,0,1
berlin,2026-04-24,2026-04-25,Premier Inn Berlin City Spittelmarkt,2931,8.3,0.0,2.1,False,3100,4,4,0,1
berlin,2026-04-24,2026-04-25,Apartments am Brandenburger Tor,6118,8.2,0.0,0.3,False,12672,4,4,0,1
berlin,2026-04-24,2026-04-25,Premier Inn Berlin City Süd,3022,8.0,0.0,10.6,False,1816,4,4,0,1
berlin,2026-04-24,2026-04-25,TITANIC Gendarmenmarkt Berlin,4309,8.9,0.0,1.2,False,6818,4,4,0,1
berlin,2026-04-24,2026-04-25,ibis budget Hotel Berlin Airport,1806,8.1,0.0,17.2,False,372,4,4,0,1
berlin,2026-04-24,2026-04-25,Steigenberger Hotel Am Kanzleramt,3871,8.8,0.0,1.0,False,7641,4,4,0,1
berlin,2026-04-24,2026-04-25,ibis Hotel Berlin Airport,2068,8.6,0.0,17.2,False,593,4,4,0,1
berlin,2026-04-24,2026-04-25,Hotel Alex Berlin,3313,8.3,0.0,3.5,False,1386,4,4,0,1
berlin,2026-04-24,2026-04-25,25hours Hotel Bikini Berlin,4973,8.7,0.0,2.9,False,2163,4,4,0,1
berlin,2026-04-24,2026-04-25,a&o Berlin Mitte,2629,7.5,0.0,3.3,False,10956,4,4,0,1
berlin,2026-04-24,2026-04-25,DoubleTree by Hilton Berlin Ku'damm,4580,8.7,0.0,3.2,False,3982,4,4,0,1
berlin,2026-04-24,2026-04-25,TITANIC Comfort Kurfürstendamm,2550,8.0,0.0,2.6,False,7247,4,4,0,1
berlin,2026-04-24,2026-04-25,"Me and All Hotel Berlin East Side, by Hyatt",3245,8.6,0.0,3.6,False,486,4,4,0,1
berlin,2026-04-24,2026-04-25,Novotel Suites Berlin City Potsdamer Platz,3926,8.4,6.0,1.4,False,11516,4,4,0,1
berlin,2026-04-24,2026-04-25,"Radisson Collection Hotel, Berlin",6124,8.7,10.0,1.8,False,3693,4,4,0,1
berlin,2026-04-24,2026-04-25,H4 Hotel Berlin Alexanderplatz,3550,8.5,0.0,2.8,False,11943,4,4,0,1
berlin,2026-04-24,2026-04-25,H2 Hotel Berlin-Alexanderplatz,3096,8.2,0.0,2.7,True,17141,4,4,0,1
berlin,2026-04-24,2026-04-25,Hotel Indigo Berlin - East Side Gallery,4142,9.0,8.0,4.6,False,2049,4,4,0,1
berlin,2026-04-24,2026-04-27,Park Inn by Radisson Berlin Alexanderplatz,15625,8.1,8.0,2.6,False,15001,4,4,0,3
berlin,2026-04-24,2026-04-27,"Hotel Berlin, Berlin, a member of Radisson Individuals",8563,8.2,0.0,2.1,False,19642,4,4,0,3
berlin,2026-04-24,2026-04-27,Estrel Berlin,7179,8.5,8.0,7.3,False,7355,4,4,0,3
berlin,2026-04-24,2026-04-27,Premier Inn Berlin City Süd,6774,8.0,0.0,10.6,False,1816,4,4,0,3
berlin,2026-04-24,2026-04-27,Apartments am Brandenburger Tor,10436,8.2,0.0,0.3,False,12672,4,4,0,3
berlin,2026-04-24,2026-04-27,Premier Inn Berlin Airport,5967,8.6,0.0,17.3,False,10154,4,4,0,3
