city,checkin,checkout,hotel_name,price,rating,stars,distance_km,breakfast,review_count,month,day_of_week,is_weekend,stay_length
budapest,2026-04-24,2026-04-28,Aquaworld Resort Budapest,33602,8.9,8.0,12.3,False,6761,4,4,0,4
budapest,2026-04-24,2026-04-28,BasiliQ Hotel,18743,9.6,8.0,0.5,True,963,4,4,0,4
budapest,2026-04-24,2026-04-28,TRIBE Budapest Airport,14705,9.0,8.0,17.2,True,2168,4,4,0,4
budapest,2026-04-24,2026-04-28,Verdi Budapest Aquincum,9827,8.1,8.0,4.5,False,6408,4,4,0,4
budapest,2026-04-24,2026-04-28,Danubius Hotel Astoria City Center,9740,8.3,8.0,0.45,False,10334,4,4,0,4
budapest,2026-04-24,2026-04-28,Danubius Hotel Hungaria City Center,8789,8.6,8.0,1.7,False,9819,4,4,0,4
budapest,2026-04-24,2026-04-28,You Hotel Budapest - Handwritten Collection,15164,9.2,8.0,0.8,False,618,4,4,0,4
budapest,2026-04-24,2026-04-28,Hampton By Hilton Budapest City Centre,13401,9.1,6.0,0.8,True,5595,4,4,0,4
budapest,2026-04-24,2026-04-28,IntercityHotel Budapest,10055,9.0,8.0,1.9,False,4998,4,4,0,4
budapest,2026-04-24,2026-04-28,"Radisson Blu Béke Hotel, Budapest",13025,8.9,8.0,1.2,False,8772,4,4,0,4
budapest,2026-04-24,2026-04-28,Ensana Grand Margaret Island,12990,8.9,8.0,3.9,True,6331,4,4,0,4
budapest,2026-04-24,2026-04-28,Novotel Budapest City,19789,8.2,8.0,2.6,True,3441,4,4,0,4
budapest,2026-04-24,2026-04-28,Ensana Thermal Margaret Island,13944,9.0,8.0,4.0,True,7987,4,4,0,4
budapest,2026-04-24,2026-04-28,Mercure Budapest Castle Hill,12611,8.4,8.0,2.2,False,826,4,4,0,4
budapest,2026-04-24,2026-04-28,Mercure Budapest City Center,14406,8.6,8.0,0.45,False,2586,4,4,0,4
budapest,2026-04-24,2026-04-28,Ibis Styles Budapest Center,10514,8.1,8.0,1.3,True,2022,4,4,0,4
budapest,2026-04-24,2026-04-28,Mamaison Hotel Chain Bridge Budapest,24687,9.5,8.0,0.6,False,412,4,4,0,4
budapest,2026-04-24,2026-04-28,ibis Budapest Stadium,8558,9.1,6.0,4.0,False,3689,4,4,0,4
budapest,2026-04-24,2026-04-28,Wonder Budapest,20130,9.6,8.0,0.5,False,316,4,4,0,4
budapest,2026-04-24,2026-04-28,Eurostars Danube Budapest,12055,8.8,8.0,0.15,False,4272,4,4,0,4
budapest,2026-04-24,2026-04-28,Danubius Hotel Arena,8741,8.6,8.0,3.6,False,12414,4,4,0,4
budapest,2026-04-24,2026-04-28,Exe Budapest Center,9920,8.5,8.0,0.45,False,5873,4,4,0,4
budapest,2026-04-24,2026-04-28,Eurostars Ambassador,12383,9.1,8.0,1.1,False,4583,4,4,0,4
budapest,2026-04-24,2026-04-26,Aquaworld Resort Budapest,16642,8.9,8.0,12.3,True,6761,4,4,0,2
budapest,2026-04-24,2026-04-26,BasiliQ Hotel,11323,9.6,8.0,0.5,True,963,4,4,0,2
budapest,2026-04-24,2026-04-26,TRIBE Budapest Airport,7352,9.0,8.0,17.2,True,2168,4,4,0,2
budapest,2026-04-24,2026-04-26,Verdi Budapest Aquincum,4390,8.1,8.0,4.5,False,6408,4,4,0,2
budapest,2026-04-24,2026-04-26,Danubius Hotel Astoria City Center,5813,8.3,8.0,0.45,False,10334,4,4,0,2
budapest,2026-04-24,2026-04-26,Danubius Hotel Hungaria City Center,5678,8.6,8.0,1.7,False,9819,4,4,0,2
budapest,2026-04-24,2026-04-26,You Hotel Budapest - Handwritten Collection,8846,9.2,8.0,0.8,False,618,4,4,0,2
budapest,2026-04-24,2026-04-26,Hampton By Hilton Budapest City Centre,7775,9.1,6.0,0.8,True,5595,4,4,0,2
budapest,2026-04-24,2026-04-26,IntercityHotel Budapest,6013,9.0,8.0,1.9,False,4998,4,4,0,2
budapest,2026-04-24,2026-04-26,Mercure Budapest Korona,8795,8.7,8.0,0.9,False,1220,4,4,0,2
budapest,2026-04-24,2026-04-26,"Radisson Blu Béke Hotel, Budapest",7572,8.9,8.0,1.2,False,8772,4,4,0,2
budapest,2026-04-24,2026-04-26,Ensana Grand Margaret Island,5797,8.9,8.0,3.9,True,6331,4,4,0,2
budapest,2026-04-24,2026-04-26,Novotel Budapest City,4903,8.2,8.0,2.6,True,3441,4,4,0,2
budapest,2026-04-24,2026-04-26,Ensana Thermal Margaret Island,6377,9.0,8.0,4.0,True,7987,4,4,0,2
budapest,2026-04-24,2026-04-26,Mercure Budapest Castle Hill,6521,8.4,8.0,2.2,False,826,4,4,0,2
budapest,2026-04-24,2026-04-26,Mercure Budapest City Center,7810,8.6,8.0,0.45,False,2586,4,4,0,2
budapest,2026-04-24,2026-04-26,Ibis Styles Budapest Center,6015,8.1,8.0,1.3,True,2022,4,4,0,2
budapest,2026-04-24,2026-04-26,Mamaison Hotel Chain Bridge Budapest,13634,9.5,8.0,0.6,False,412,4,4,0,2
budapest,2026-04-24,2026-04-26,ibis Budapest Stadium,5140,9.1,6.0,4.0,False,3689,4,4,0,2
budapest,2026-04-24,2026-04-26,Wonder Budapest,12738,9.6,8.0,0.5,False,316,4,4,0,2
budapest,2026-04-24,2026-04-26,Eurostars Danube Budapest,7051,8.8,8.0,0.15,False,4272,4,4,0,2
budapest,2026-04-24,2026-04-26,Four Points by Sheraton Budapest Danube,7112,8.9,8.0,2.8,False,660,4,4,0,2
budapest,2026-04-24,2026-04-26,Danubius Hotel Arena,5458,8.6,8.0,3.6,False,12414,4,4,0,2
budapest,2026-05-06,2026-05-10,Aquaworld Resort Budapest,22097,8.9,8.0,12.3,True,6761,5,2,0,4
budapest,2026-05-06,2026-05-10,BasiliQ Hotel,17111,9.6,8.0,0.5,True,963,5,2,0,4
budapest,2026-05-06,2026-05-10,TRIBE Budapest Airport,14016,9.0,8.0,17.2,True,2168,5,2,0,4
budapest,2026-05-06,2026-05-10,Verdi Budapest Aquincum,10681,8.1,8.0,4.5,False,6408,5,2,0,4
budapest,2026-05-06,2026-05-10,Danubius Hotel Astoria City Center,16686,8.3,8.0,0.45,False,10334,5,2,0,4
budapest,2026-05-06,2026-05-10,Danubius Hotel Hungaria City Center,9691,8.6,8.0,1.7,False,9819,5,2,0,4
budapest,2026-05-06,2026-05-10,You Hotel Budapest - Handwritten Collection,11861,9.2,8.0,0.8,False,618,5,2,0,4
budapest,2026-05-06,2026-05-10,Hampton By Hilton Budapest City Centre,16252,9.1,6.0,0.8,True,5595,5,2,0,4
budapest,2026-05-06,2026-05-10,IntercityHotel Budapest,8838,9.0,8.0,1.9,False,4998,5,2,0,4
budapest,2026-05-06,2026-05-10,Mercure Budapest Korona,11904,8.7,8.0,0.9,False,1220,5,2,0,4
