city,checkin,checkout,hotel_name,price,rating,stars,distance_km,breakfast,review_count,month,day_of_week,is_weekend,stay_length
dublin,2026-04-24,2026-04-29,Blooms Hotel,24955,8.1,6.0,0.6,False,8221.0,4,4,0,5
dublin,2026-04-24,2026-04-29,Ruby Molly Hotel Dublin,48887,8.9,8.0,0.7,False,5734.0,4,4,0,5
dublin,2026-04-24,2026-04-29,The Westbury Hotel,252955,8.8,10.0,0.9,False,809.0,4,4,0,5
dublin,2026-04-24,2026-04-29,Motel One Dublin,25730,8.9,8.0,0.3,False,17139.0,4,4,0,5
dublin,2026-04-24,2026-04-29,The Gibson Hotel Dublin City,29361,8.5,8.0,2.1,False,8011.0,4,4,0,5
dublin,2026-04-24,2026-04-29,The Spencer Hotel,29020,8.5,8.0,1.1,False,3593.0,4,4,0,5
dublin,2026-04-24,2026-04-29,Clayton Hotel Cardiff Lane,31376,8.3,8.0,1.4,False,9658.0,4,4,0,5
dublin,2026-04-24,2026-04-29,Clayton Hotel Burlington Road,23663,8.5,8.0,2.3,False,9632.0,4,4,0,5
dublin,2026-04-24,2026-04-29,Castle Hotel,43214,8.5,8.0,0.6,True,11329.0,4,4,0,5
dublin,2026-04-24,2026-04-29,Maldron Hotel Parnell Square Dublin City,29288,8.6,8.0,0.7,False,9290.0,4,4,0,5
dublin,2026-04-24,2026-04-29,Clayton Hotel Charlemont Dublin City,34459,8.8,8.0,2.1,False,5036.0,4,4,0,5
dublin,2026-04-24,2026-04-29,Leonardo Hotel Dublin Parnell Street,29702,8.6,8.0,0.25,False,12667.0,4,4,0,5
dublin,2026-04-24,2026-04-29,IFSC Townhouse Apartments,41447,8.1,6.0,1.2,False,1292.0,4,4,0,5
dublin,2026-04-24,2026-04-29,The Dean Dublin Docklands- Formerly The Mayson,30793,7.9,8.0,2.0,False,3879.0,4,4,0,5
dublin,2026-04-24,2026-04-29,Maldron Hotel Merrion Road,22848,8.4,8.0,5.7,False,4772.0,4,4,0,5
