city,checkin,checkout,hotel_name,price,rating,stars,distance_km,breakfast,review_count,month,day_of_week,is_weekend,stay_length
prague,2026-04-24,2026-04-26,Aparthotel Tycho de Brahe,6878,8.4,8.0,2.0,True,1005,4,4,0,2
prague,2026-04-24,2026-04-26,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",9207,9.4,8.0,5.6,True,17702,4,4,0,2
prague,2026-04-24,2026-04-26,a&o Prague Rhea,4867,7.7,6.0,5.7,False,24638,4,4,0,2
prague,2026-04-24,2026-04-26,Majestic Plaza Hotel Prague,8230,8.6,8.0,1.0,False,6865,4,4,0,2
prague,2026-04-24,2026-04-26,The Cloud One Prague,5586,8.7,8.0,1.0,False,5785,4,4,0,2
prague,2026-04-24,2026-04-26,Hotel Ariston Prague,9690,8.2,8.0,2.0,True,9045,4,4,0,2
prague,2026-04-24,2026-04-26,Grandium Hotel Prague,11891,8.6,10.0,0.8,False,13914,4,4,0,2
prague,2026-04-24,2026-04-26,Grand Hotel Prague Towers - Czech Leading Hotels,8712,9.0,10.0,2.8,False,20139,4,4,0,2
prague,2026-04-24,2026-04-26,Clarion Congress Hotel Prague,11383,9.2,8.0,6.3,True,7695,4,4,0,2
prague,2026-04-24,2026-04-26,Martin Hotel Prague,7110,8.4,8.0,1.7,True,4591,4,4,0,2
prague,2026-04-24,2026-04-26,Ibis Praha Old Town,8130,8.1,6.0,0.7,False,4955,4,4,0,2
prague,2026-04-24,2026-04-26,Diplomat Hotel Prague,8718,8.9,8.0,2.6,True,6190,4,4,0,2
prague,2026-04-24,2026-04-26,City Central De Luxe,6476,7.6,6.0,1.6,True,6875,4,4,0,2
prague,2026-04-24,2026-04-26,Adria Hotel Prague,7460,8.1,8.0,0.6,True,1289,4,4,0,2
prague,2026-04-24,2026-04-26,Narodni Stay,5442,8.3,6.0,0.6,False,6021,4,4,0,2
prague,2026-04-24,2026-04-26,Hotel Praga 1885 by Wagnerstays,6682,7.8,8.0,2.4,False,2293,4,4,0,2
prague,2026-04-24,2026-04-26,Admiral Botel,5940,8.6,6.0,2.0,True,3374,4,4,0,2
prague,2026-04-24,2026-04-26,A1 Royal Plaza,7398,9.0,6.0,1.3,False,3986,4,4,0,2
prague,2026-04-24,2026-04-26,Hotel Ambiance,10688,8.3,8.0,1.7,True,6249,4,4,0,2
prague,2026-04-24,2026-04-26,NYX Hotel Prague by Leonardo Hotels,11029,8.7,8.0,0.6,False,4929,4,4,0,2
prague,2026-04-24,2026-04-26,Libero Apartments,6856,9.3,8.0,1.8,False,1818,4,4,0,2
prague,2026-04-24,2026-04-26,MOSAIC HOUSE Design Hotel,12448,9.4,8.0,1.1,False,5604,4,4,0,2
prague,2026-04-24,2026-04-28,Aparthotel Tycho de Brahe,12610,8.4,8.0,2.0,True,1005,4,4,0,4
prague,2026-04-24,2026-04-28,a&o Prague Rhea,6998,7.7,6.0,5.7,False,24638,4,4,0,4
prague,2026-04-24,2026-04-28,Majestic Plaza Hotel Prague,12368,8.6,8.0,1.0,True,6865,4,4,0,4
prague,2026-04-24,2026-04-28,The Cloud One Prague,9964,8.7,8.0,1.0,False,5785,4,4,0,4
prague,2026-04-24,2026-04-28,Hotel Ariston Prague,14157,8.2,8.0,2.0,True,9045,4,4,0,4
prague,2026-04-24,2026-04-28,Grandium Hotel Prague,16964,8.6,10.0,0.8,False,13914,4,4,0,4
prague,2026-04-24,2026-04-28,Grand Hotel Prague Towers - Czech Leading Hotels,14716,9.0,10.0,2.8,False,20139,4,4,0,4
prague,2026-04-24,2026-04-28,Clarion Congress Hotel Prague,18526,9.2,8.0,6.3,True,7695,4,4,0,4
prague,2026-04-24,2026-04-28,Perla Hotel,13332,8.7,8.0,0.4,False,5329,4,4,0,4
prague,2026-04-24,2026-04-28,Ibis Praha Old Town,12480,8.1,6.0,0.7,False,4955,4,4,0,4
prague,2026-04-24,2026-04-28,Diplomat Hotel Prague,23265,8.9,8.0,2.6,True,6190,4,4,0,4
prague,2026-04-24,2026-04-28,City Central De Luxe,9203,7.6,6.0,1.6,True,6875,4,4,0,4
prague,2026-04-24,2026-04-28,Adria Hotel Prague,11681,8.1,8.0,0.6,True,1289,4,4,0,4
prague,2026-04-24,2026-04-28,Art Nouveau Palace Hotel,19340,9.0,10.0,0.6,False,5935,4,4,0,4
prague,2026-04-24,2026-04-28,Narodni Stay,12859,8.3,6.0,0.6,False,6021,4,4,0,4
prague,2026-04-24,2026-04-28,Hotel Praga 1885 by Wagnerstays,10472,7.8,8.0,2.4,False,2293,4,4,0,4
prague,2026-04-24,2026-04-28,Admiral Botel,10615,8.6,6.0,2.0,True,3374,4,4,0,4
prague,2026-04-24,2026-04-28,A1 Royal Plaza,12096,9.0,6.0,1.3,False,3986,4,4,0,4
prague,2026-04-24,2026-04-28,Hotel Ambiance,13755,8.3,8.0,1.7,True,6249,4,4,0,4
prague,2026-04-24,2026-04-28,NYX Hotel Prague by Leonardo Hotels,16994,8.7,8.0,0.6,False,4929,4,4,0,4
prague,2026-04-24,2026-04-28,Libero Apartments,10284,9.3,8.0,1.8,False,1818,4,4,0,4
prague,2026-04-24,2026-04-28,MOSAIC HOUSE Design Hotel,17883,9.4,8.0,1.1,False,5604,4,4,0,4
prague,2026-05-06,2026-05-09,"STAGES HOTEL Prague, a Tribute Portfolio Hotel",7317,9.4,8.0,5.6,True,17702,5,2,0,3
prague,2026-05-06,2026-05-09,a&o Prague Rhea,5566,7.7,6.0,5.7,False,24638,5,2,0,3
prague,2026-05-06,2026-05-09,Hotel Praga 1885 by Wagnerstays,6601,7.8,8.0,2.4,False,2293,5,2,0,3
